"Distance from Start (km)","Height Above Sea Level (m)","Comments"
35.46,29,""
35.55,24,""
35.64,19,""
35.73,15,""
35.82,10,""
35.91,10,""
36,12,""
36.09,10,""
36.18,11,""
36.27,12,""
36.36,16,""
36.45,17,""
36.54,20,""
36.63,21,""
36.72,19,""
36.81,17,""
36.9,14,""
36.99,13,""
37.08,15,""
37.17,18,""
37.26,21,""
37.35,24,""
37.44,28,""
37.53,33,""
37.62,38,"Steepest uphill"
37.71,47,""
37.8,48,""
37.89,48,""
37.98,47,""
38.07,46,""
38.16,45,""
38.25,41,""
38.34,37,""
38.43,34,""
38.52,31,""
38.61,29,""
38.7,28,""
38.79,27,""
38.88,26,""
38.97,26,""
39.06,26,""
39.15,26,""
39.24,26,""
39.33,26,""
39.42,27,""
39.51,28,""
39.6,30,""
39.69,32,""
39.78,31,""
39.87,30,""
39.96,33,""
40.05,29,""
40.14,29,""
40.23,27,""
40.32,21,""
40.41,17,""
40.5,16,"Start of longest uphill"
40.59,17,""
40.68,17,""
40.77,17,""
40.86,19,""
40.95,21,""
41.04,22,""
41.13,25,""
41.22,25,""
41.31,27,""
41.4,28,""
41.49,32,""
41.58,36,""
41.67,40,""
41.76,47,""
41.85,53,""
41.94,56,"Highest Point"
42.03,54,""
42.12,52,""
42.21,45,""
42.3,39,""
42.39,32,""
